Frequency,Input,Callsign,Description,System/Category,Tag,Updated
463.95000,,,Site 004 Mokena,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
463.98750,468.98750,WQGP745,Security/Maintenance,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
464.05000,469.05000,WPDX578,Casino/Slots  Maintenance,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.06250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.07500,469.07500,WPDX578,Operations (poss tone),Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.16250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.20000,469.20000,WNPI836,Security / Maintenance [Moved to New Lenox 5/13],Silver Cross Hospital (Joliet / New Lenox),Security,2007:03:21
464.22500,469.22500,WPOD874,First Student: Vans (University Park),School Buses,Schools,2009:09:13
464.25000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
464.26250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.28750,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.30000,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
464.31250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.32500,469.32500,,Park District: Ops [No license],Lockport,Public Works,2008:01:28
464.32500,,WPJG861,Bass Pro: Loss Prevention,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
464.32500,469.32500,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.32500,,WQCE267,Maintenance/Alarms (reported as Repeater),Westfield Corporation - Joliet,Business,2006:02:28
464.35000,469.35000,WPOD874,First Student (University Park),School Buses,Schools,2009:09:13
464.37500,469.37500,WQDU385,Carillon Golf Club (Plainfield),Golf Courses,Business,2005:11:14
464.37500,469.37500,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.40000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
464.42500,469.42500,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.42500,469.42500,WZH838,Community High School District: Buses (Lincolnway?),Frankfort Schools,Schools,2008:12:05
464.45000,469.45000,WPOD874,First Student (Joliet),School Buses,Schools,2008:12:05
464.47500,469.47500,WPDX578,Operations (possibly D165),Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.50000,,,Police: Dispatch [No License],Joliet Junior College,Law Dispatch,2010:12:03
464.50000,,WPJG861,Bass Pro: Loss Prevention,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
464.52500,469.52500,KCZ302,Joliet Township Central High School Security [Ch 1],Joliet Schools,Schools,2007:01:04
464.57500,469.57500,WPXL518,Operations/Transportation (*possible tone heard Joliet area 5/08),Troy Community Consoildated School District 30c (Shorewood),Schools,2008:06:03
464.60000,469.60000,WPRT455,Race Control [Ch 2],Chicagoland Speedway (Joliet),Business,2005:07:10
464.62500,,,Site 103 Joliet (Unidentified LCN),Lakeland Communications (Cook County),TRS,2000:01:01
464.65000,469.65000,WPOD874,First Student (University Park),School Buses,Schools,2009:09:24
464.66250,,,Site 102 Wilmington [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:27
464.67500,469.67500,WPHZ523,Buses (at High School),Plainfield Community Consolidated School District 202,Schools,2009:09:24
464.67500,469.67500,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.67500,469.67500,WPDX578,Operations (possibly D205),Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.76250,,WQNR555,Slammers Staff: Ch 1 / Alternate,Silver Cross Field,Business,2011:07:18
464.77500,469.77500,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
464.78750,469.78750,WQKP387,P-1,Diageo Global Supply (Plainfield),Business,2010:03:06
464.80000,469.80000,WNKJ240,EMS: Dispatch (Plainfield),First Care Ambulance (Plainfield/Aurora),EMS Dispatch,2012:10:10
464.82500,469.82500,WQOV528,Security,Bolingbrook Medical Center,Security,2007:08:07
464.82500,,KFL991,Joliet Township Animal Control [Term 11/02],Townships and Water Districts,Public Works,2007:03:21
464.97500,469.97500,KCZ302,Joliet Township Transportation [Ch 3],Joliet Schools,Schools,2007:01:04
465.58750,,KQN451,Fire: Remote Station Link (Old?),Bolingbrook,Fire-Tac,2010:02:22
466.43750,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
466.46250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
466.48750,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
466.48750,,WQCE237,Operations (in use),Autobahn Speedway (Joliet),Business,2007:05:27
466.51250,,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
466.56250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
466.70625,,,Warehouse,Diageo Global Supply (Plainfield),Business,2010:03:06
466.76250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
466.96250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
467.16250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
467.18750,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
467.26250,,WPYF331,Naperville Park District (Plainfield) [IG],Naperville,Public Works,2007:03:21
467.36250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
467.56250,,FRS8,Home Depot (Joliet) CSQ?,Retail,Business,2006:12:20
467.76250,,WPJG861,Bass Pro: Ops,FC Janes Park LLC dba Promanade Bolingbrook,Business,2007:05:06
467.87500,,WPJG861,Bass Pro: General Ops (very busy),FC Janes Park LLC dba Promanade Bolingbrook,Business,2007:05:06
467.91250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
467.93750,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
468.23750,,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
468.36250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
468.53750,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
468.75000,,,Richard Petty Driving Experience,Chicagoland Speedway (Joliet),Business,2008:05:20
468.76250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
468.88750,,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
468.96250,,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
468.96250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
469.06250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.11250,,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.16250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
469.16250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.23125,,,Production,Diageo Global Supply (Plainfield),Business,2010:03:06
469.26250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.26250,,WPTB427,Local Access TV Production,Crete,Media,2007:03:21
469.28750,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.31250,,WPFE902,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.63750,,WPCX980,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
469.70625,,,Emergency,Diageo Global Supply (Plainfield),Business,2010:03:06
469.76250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
469.76250,,WQNR555,Slammers Staff: Main operations,Silver Cross Field,Business,2011:07:18
469.96250,,WPYW515,Operations,Harrah's Joliet Casino and Hotel,Business,2007:03:21
470.43750,473.43750,KZJ478,Police: Link to other Departments,EASTCOM - Eastern Will County Communications Network,Deprecated,2005:11:30
470.56250,473.56250,KZJ478,Police: Dispatch (DB: EASTCOM),Crete,Law Dispatch,2005:11:30
470.56250,473.56250,KZJ478,Police: Dispatch (*see notes) (simulcast on TRS),EASTCOM - Eastern Will County Communications Network,Deprecated,2005:06:26
470.97500,473.97500,WQJY328,Public Works / Engineering (please inform if in use),Bolingbrook,Public Works,2009:01:23
471.32500,,,Site 105 Lockport,Diga-Talk (NID-14),TRS,2008:10:13
471.32500,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
471.36250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.42500,,,Site 001 Confirmed LCN,Flint Hills Resources/ESP Wireless (Channahon),TRS,2011:08:06
471.43750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.48750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.48750,,,Site 004 Mokena,TRBOconnection/TRBOnexus,TRS,2016:01:24
471.53750,,,Site 001 Verified LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.75000,,,Site 001 Confirmed LCN,Flint Hills Resources/ESP Wireless (Channahon),TRS,2011:08:06
471.76250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.78750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.81250,,,Site 105 Lockport,Diga-Talk (NID-14),TRS,2008:10:13
471.81250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.82500,,,Site 001 Confirmed LCN,Flint Hills Resources/ESP Wireless (Channahon),TRS,2011:08:06
471.83750,,,Site 001 Verified LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
471.90000,,,Site 001 Primary,A-Beep - Chicagoland Speedway (Joliet),TRS,2000:01:01
471.90000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
471.92500,,,Site 109 Mokena,Diga-Talk (NID-14),TRS,2011:11:23
471.95000,,,Site 109 Mokena,Diga-Talk (NID-14),TRS,2011:11:23
472.03750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.06250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.08750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.16250,,,Site 001 Verified LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.17500,,,Site 001 Confirmed LCN,Flint Hills Resources/ESP Wireless (Channahon),TRS,2011:08:06
472.18750,,,Site 112 Joliet (Application),Diga-Talk (NID-14),TRS,2012:07:31
472.20000,,,Site 001 Primary,A-Beep - Chicagoland Speedway (Joliet),TRS,2000:01:01
472.20000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
472.25000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
472.25000,,,Site 001 Primary,A-Beep - Chicagoland Speedway (Joliet),TRS,2000:01:01
472.32500,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
472.35000,,,Site 105 Lockport,Diga-Talk (NID-14),TRS,2008:10:13
472.38750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.41250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.43750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.45000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
472.51250,,,Site 109 Mokena,Diga-Talk (NID-14),TRS,2011:11:23
472.55000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
472.56250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.65000,,,Site 105 Lockport,Diga-Talk (NID-14),TRS,2008:10:13
472.66250,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.68750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.78750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
472.95000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
472.97500,,,Site 001 Confirmed LCN,Flint Hills Resources/ESP Wireless (Channahon),TRS,2011:08:06
472.98750,,,Site 101 Unverifed LCN,ESP Wireless/Champion Communications (Mokena),TRS,2010:09:24
478.66250,481.66250,WPUJ785,Data (CSQ),Orland Park,Data,2009:06:30
769.08125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
769.90625,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
770.15625,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
770.65625,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
770.90625,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
771.30625,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
771.88125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
773.23125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
773.33125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
773.93125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
774.23125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
774.83125,,,Site 013 Will County Simulcast,STARCOM21 Statewide Illinois,TRS,2015:05:06
851.27500,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
851.76250,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
852.15000,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
852.48750,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
852.70000,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
852.98750,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
853.25000,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
853.36250,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
853.48750,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
853.60000,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
853.85000,858.85000,WPJX637,Bolingbrook Snow Command [Lic to County],Bolingbrook,Public Works,2008:12:06
853.86250,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
853.98750,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
854.33750,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
854.41250,809.41250,WPIT844,Buses (Multiple Locations),School Buses,Schools,2007:03:21
854.48750,,,Site 001 Simulcast,Will County Public Safety,TRS,2015:04:24
854.63750,809.63750,WNNB544,Plainfield Police: Dispatch (Backup to SC21),Plainfield,Law Dispatch,2011:12:05
854.63750,809.63750,WNNB544,Public Works [Lic to County],Bolingbrook,Public Works,2008:01:15
855.41250,,,Site 001 Primary,Exxon Communications (Will),TRS,2011:06:12
856.96250,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
857.53750,,,Site 001 Simulcast,Will County Public Safety (P25),TRS,2015:08:15
857.58750,,,Site 001 Simulcast,Will County Public Safety (P25),TRS,2015:08:15
858.31250,,,Site 001 Primary,Exxon Communications (Will),TRS,2011:06:12
858.91250,,,Site 001 Primary,Exxon Communications (Will),TRS,2011:06:12
858.98750,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
859.31250,,,Site 001 Primary,Exxon Communications (Will),TRS,2011:06:12
859.58750,,,Site 001 Simulcast,Will County Public Safety (P25),TRS,2015:08:15
859.98750,,,Site 051 Stateville Prison - Joliet,STARCOM21 Statewide Illinois,TRS,2014:08:09
860.31250,,,Site 001 Primary,Exxon Communications (Will),TRS,2011:06:12
860.91250,,,Site 001 Primary,Exxon Communications (Will),TRS,2011:06:12
927.58750,902.58750,N9OWR/R,Homer Glen,Miscellaneous,Ham,2012:03:17
935.18750,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
935.45000,,,Site 008 Willl Simulcast? FCI ? (*loc) [need NAC],Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
935.46250,,,Site 102 Romeoville (Will),Citgo Refinery (Romeoville),TRS,2000:01:01
935.48750,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
935.48750,,,Site 102 Romeoville (Will),Citgo Refinery (Romeoville),TRS,2000:01:01
936.25000,,,Site 105 Crete (*replacing Dekalb),Commonwealth Edison/Exelon (Northern IL),TRS,2012:01:25
936.25000,,,Site 001 Crete (*),Commonwealth Edison/Exelon (Northern IL),TRS,2000:01:01
936.40000,,,Site 012 Orland Park (*loc/lic),Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
936.40000,,,Site 004 Orland Park (OFF AIR),Commonwealth Edison/Exelon (Northern IL),TRS,2012:11:25
936.65000,,,Site 004 Orland Park (OFF AIR),Commonwealth Edison/Exelon (Northern IL),TRS,2012:11:25
936.65000,,,Site 012 Orland Park (*loc/lic),Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
936.72500,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
936.91250,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
936.91250,,,Site 102 Romeoville (Will),Citgo Refinery (Romeoville),TRS,2000:01:01
937.13750,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
937.17500,,,Site 108 Bourbannais,Commonwealth Edison/Exelon (Northern IL),TRS,2011:10:15
937.17500,,,Site 001 Crete (*),Commonwealth Edison/Exelon (Northern IL),TRS,2000:01:01
937.38750,,,Site 001 Braidwood Power Plant,Commonwealth Edison/Exelon (Northern IL),TRS,2013:07:12
937.40000,,,Site 001 Braidwood Power Plant,Commonwealth Edison/Exelon (Northern IL),TRS,2013:07:12
937.41250,,,Site 001 Braidwood Power Plant,Commonwealth Edison/Exelon (Northern IL),TRS,2013:07:12
937.42500,,,Site 001 Braidwood Power Plant,Commonwealth Edison/Exelon (Northern IL),TRS,2013:07:12
937.43750,,,Site 001 Braidwood Power Plant,Commonwealth Edison/Exelon (Northern IL),TRS,2013:07:12
937.45000,,,Site 108 Bourbannais,Commonwealth Edison/Exelon (Northern IL),TRS,2011:10:15
937.46250,,,Site 108 Bourbannais,Commonwealth Edison/Exelon (Northern IL),TRS,2011:10:15
937.47500,,,Site 108 Bourbannais,Commonwealth Edison/Exelon (Northern IL),TRS,2011:10:15
937.48750,,,Site 004 Orland Park (OFF AIR),Commonwealth Edison/Exelon (Northern IL),TRS,2012:11:25
937.48750,,,Site 012 Orland Park (*loc/lic),Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
937.63750,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
937.66250,,,Site 004 Orland Park (OFF AIR),Commonwealth Edison/Exelon (Northern IL),TRS,2012:11:25
937.66250,,,Site 012 Orland Park (*loc/lic),Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
938.21250,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
938.25000,,,Site 007 Crete (simulcast ?) [need NAC],Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2013:05:25
938.25000,,,Site 001 Crete (*),Commonwealth Edison/Exelon (Northern IL),TRS,2000:01:01
938.25000,,,Site 105 Crete (*replacing Dekalb),Commonwealth Edison/Exelon (Northern IL),TRS,2012:01:25
938.45000,,,Site 105 Peotone [Will],ESP Wireless #3 - 900 MHz (Chicago),TRS,2009:01:28
938.63750,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
938.88750,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
938.88750,,,Site 102 Romeoville (Will),Citgo Refinery (Romeoville),TRS,2000:01:01
938.90000,,,Site 102 Romeoville (Will),Citgo Refinery (Romeoville),TRS,2000:01:01
939.17500,,,Site 001 Site-1,Citgo Refinery (Romeoville),TRS,2000:01:01
939.45000,,,Site 102 Romeoville (Will),Citgo Refinery (Romeoville),TRS,2000:01:01
939.66250,,,Site 007 Crete (simulcast ?) [need NAC],Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2013:05:25
939.66250,,,Site 001 Crete (*),Commonwealth Edison/Exelon (Northern IL),TRS,2000:01:01
939.66250,,,Site 105 Crete (*replacing Dekalb),Commonwealth Edison/Exelon (Northern IL),TRS,2012:01:25
939.67500,,,Site 013 Crete ? (*loc) [need NAC],Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
939.67500,,,Site 007 Crete (simulcast ?) [need NAC],Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2013:05:25
939.67500,,,Site 001 Crete (*),Commonwealth Edison/Exelon (Northern IL),TRS,2000:01:01
939.67500,,,Site 105 Crete (*replacing Dekalb),Commonwealth Edison/Exelon (Northern IL),TRS,2012:01:25
939.68750,,,Site 004 Orland Park (OFF AIR),Commonwealth Edison/Exelon (Northern IL),TRS,2012:11:25
939.68750,,,Site 012 Orland Park (*loc/lic),Commonwealth Edison/Exelon - P25 (Northern IL),TRS,2012:10:02
